id,lens,metric_space,n_cubes,overlap,eps,min_samples,n_nodes,n_edges,n_components,n_loops,avg_degree,max_degree,density,avg_node_size,max_node_size,size_entropy,collapse_ratio,score,var_mgAF_dia_total,var_mgAF_suple_1T,var_mgAF_saf,var_total_AF_mg,var_dias_saf,var_pn_hijo,var_eg_hijo,var_edad_madre,var_imc_antes,var_dif_imc,var_hijo_problema,var_consume_suple,bio_score
11825,mgAF_suple_1T,all_mixed,20,0.3,5.0,5,11,7,4,0,1.27,2,0.1273,76.9,300,1.986,0.426,0.2997,5.2373,5.2764,4.6638,109186.3334,1206.316,7766.4343,0.1175,1.5628,3.2997,0.2883,0.0017,0.0326,0.2716091095494633
17262,pn_hijo,all_mixed,20,0.6,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,2.8477,2.9889,2.5,24210.0,0.0,13776.3889,0.4514,11.5347,7.0394,0.4852,0.0,0.0,0.13979752803411047
15048,imc_antes,all_mixed,20,0.3,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,3.2088,3.2956,3.0556,23603.9022,7729.3889,14093.0556,0.3681,16.2847,6.5381,0.4692,0.0,0.0,0.15295099050861669
15066,imc_antes,all_mixed,20,0.4,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,3.2088,3.2956,3.0556,23603.9022,7729.3889,14093.0556,0.3681,16.2847,6.5381,0.4692,0.0,0.0,0.15295099050861669
12203,mgAF_saf,cont_std,20,0.4,5.0,5,9,4,5,0,0.89,2,0.1111,109.1,315,1.541,0.447,0.2996,2.5546,2.6276,2.2837,39256.9747,2619.8109,15248.0402,0.2517,4.7501,1.0575,0.1468,0.0043,0.0135,0.13605452893922954
8370,umap_2d,all_mixed,12,0.2,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,4.9616,5.1567,4.5833,38513.5389,4830.8681,15031.25,0.4722,19.7222,6.1975,0.6526,0.0,0.0,0.2367110386001249
16956,pn_hijo,all_mixed,8,0.4,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,0.0301,0.0347,0.0347,281.25,0.0,8393.0556,0.25,2.4722,9.5132,0.2881,0.0,0.0,0.005081753109535008
17982,edad_madre,cont_rob,20,0.6,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,0.1198,0.0882,0.2222,23.7131,7442.0,62409.2014,0.25,5.7222,3.8532,3.2758,0.0,0.0,0.01580732475488295
12812,mgAF_saf,all_mixed,16,0.3,3.5,5,9,3,6,0,0.67,2,0.0833,108.6,326,1.568,0.462,0.2996,2.7948,2.8398,2.3015,48264.038,4266.2286,4887.8233,0.204,3.6845,2.8584,0.4667,0.0029,0.0988,0.1454890389572591
12345,mgAF_saf,cont_rob,12,0.2,5.0,2,10,2,8,0,0.4,2,0.0444,70.1,309,1.417,0.438,0.2996,3.977,3.9953,3.8614,182392.2539,2682.1434,10569.464,0.2121,9.1939,58.6708,1.8299,0.0036,0.0117,0.2513148677745692
3906,pca_full_2d,cont_rob,20,0.4,1.0,2,6,2,4,0,0.67,1,0.1333,2.0,2,1.792,0.003,0.2996,0.0787,0.0551,0.1389,14.8207,4651.25,72484.7222,0.25,10.8681,5.5328,5.0379,0.0,0.0,0.01568620950341704
1030,pca_1,all_mixed,20,0.4,1.5,3,7,3,4,0,0.86,1,0.1429,5.4,14,1.711,0.02,0.2995,0.0007,0.0,0.0,0.0,0.0,3539.142,0.2221,1.0829,2.7593,0.2867,0.0,0.0,0.002642566376034439
7438,umap_5_05,all_mixed,16,0.5,1.5,3,7,3,4,0,0.86,1,0.1429,5.4,14,1.711,0.02,0.2995,0.0007,0.0,0.0,0.0,0.0,3539.142,0.2221,1.0829,2.7593,0.2867,0.0,0.0,0.002642566376034439
21496,densidad,all_mixed,16,0.6,1.5,3,7,3,4,0,0.86,1,0.1429,4.7,14,1.71,0.02,0.2995,0.0136,0.0056,0.0056,45.5437,0.0,6141.2294,0.1482,1.454,4.3712,0.7527,0.0,0.0,0.0027240411321395055
842,pca_1,all_mixed,12,0.3,3.5,5,11,7,4,0,1.27,3,0.1273,81.4,296,1.973,0.42,0.2995,5.0789,5.0952,5.0569,271852.8891,6249.0479,12103.4263,0.1555,2.4098,8.9682,0.9618,0.0024,0.0826,0.3323865018886163
4391,umap_15_02,cont_std,8,0.5,5.0,5,12,8,4,0,1.33,2,0.1212,97.8,347,1.989,0.492,0.2994,3.8053,3.831,4.1012,170017.9596,6108.9833,7262.0688,0.1176,0.7269,1.1078,0.199,0.001,0.0651,0.23434246149088925
17201,pn_hijo,all_mixed,20,0.2,2.5,5,7,3,4,0,0.86,2,0.1429,11.4,26,1.737,0.037,0.2993,0.1597,0.1393,0.225,2284.4288,5233.7527,84685.3798,0.3941,5.8129,3.3564,0.9322,0.0049,0.1224,0.029745100252384925
22175,excentricidad,cont_rob,16,0.3,5.0,5,14,10,4,0,1.43,4,0.1099,65.9,322,1.706,0.457,0.2993,3.6584,3.6393,3.686,230769.1209,3637.2883,221673.2085,4.2864,2.1489,2.1549,1.474,0.0142,0.003,0.3400365948806336
21219,densidad,cont_rob,20,0.5,5.0,2,22,19,3,0,1.73,8,0.0823,60.4,418,1.765,0.593,0.2991,3.2585,3.245,3.1133,206497.7362,4383.9438,318063.7969,5.2999,7.3129,62.5647,6.593,0.0354,0.0113,0.3650579777263297
10814,mgAF_suple_1T,cont_std,8,0.2,3.5,5,8,3,5,0,0.75,2,0.1071,96.8,279,1.551,0.396,0.299,4.5018,4.4996,4.7675,165087.0582,5564.0898,9341.5925,0.0238,0.8419,1.9243,0.2541,0.0024,0.0033,0.2625276675819979
13337,total_AF_mg,cont_rob,8,0.2,5.0,5,11,6,5,0,1.09,2,0.1091,74.8,406,1.538,0.576,0.299,3.6941,3.6665,4.0999,309146.3567,4193.0436,14037.1036,0.3405,1.1612,1.5432,0.3242,0.0055,0.0014,0.2940708718782298
14462,imc_antes,cont_rob,8,0.5,2.0,5,9,5,4,0,1.11,2,0.1389,23.1,84,1.655,0.119,0.2989,3.6879,3.652,3.9538,233527.5399,5353.8765,21382.1824,0.2431,5.3303,4.4341,0.068,0.0017,0.0,0.2580135935916847
2103,pca_2,all_mixed,20,0.3,5.0,2,14,11,3,0,1.57,2,0.1209,71.9,206,2.11,0.292,0.2989,0.7015,0.6403,0.6704,40310.0737,2517.3678,29025.585,0.208,2.7812,143.121,1.8655,0.0057,0.0023,0.05853421432979412
15209,eg_hijo,cont_std,8,0.6,5.0,5,8,7,3,2,1.75,3,0.25,167.8,648,0.946,0.919,0.2988,2.1629,2.1921,2.5356,8667.7934,4100.4447,231054.8639,5.0143,0.7411,1.6468,0.4921,0.0048,0.0016,0.18331241996400605
4958,umap_15_02,cont_rob,20,0.2,2.0,5,8,4,4,0,1.0,2,0.1429,16.8,59,1.701,0.084,0.2988,3.1221,3.0277,3.0078,165661.124,3388.0,54235.335,0.1484,3.0733,2.1354,0.1302,0.0104,0.0,0.2206194481136566
22192,excentricidad,cont_rob,16,0.4,5.0,3,15,11,4,0,1.47,4,0.1048,71.6,364,1.69,0.516,0.2987,3.9922,3.9408,3.6099,231918.7892,4514.8068,52471.6058,0.3997,1.8175,21.878,4.2098,0.0096,0.0021,0.28639012927713975
7258,umap_5_05,all_mixed,8,0.5,1.5,3,7,3,4,0,0.86,2,0.1429,5.3,15,1.7,0.021,0.2987,0.0046,0.0019,0.0019,15.7967,0.0,14789.9609,0.2226,0.7185,3.8478,0.4285,0.0,0.0,0.004400628682117486
22486,excentricidad,all_mixed,12,0.6,1.5,3,7,3,4,0,0.86,2,0.1429,5.1,15,1.699,0.021,0.2987,0.0017,0.0004,0.0004,3.2387,0.0,14650.2373,0.2387,2.4386,3.0815,0.416,0.0,0.0,0.004435633274113965
14790,imc_antes,all_mixed,8,0.3,3.5,2,15,9,6,0,1.2,3,0.0857,64.2,498,1.321,0.706,0.2986,3.471,3.4986,3.029,161895.6103,6526.0821,45784.1925,0.3717,5.3544,96.1009,5.8956,0.0024,0.0616,0.2267579567739655
11105,mgAF_suple_1T,cont_std,20,0.3,5.0,5,11,7,4,0,1.27,2,0.1273,72.2,293,1.946,0.416,0.2984,4.6698,4.6858,4.6686,182355.9861,3996.2417,24814.4795,0.173,0.7182,0.8506,0.1879,0.0092,0.0334,0.28972499031625837
12976,total_AF_mg,cont_std,8,0.2,5.0,3,12,5,7,0,0.83,3,0.0758,67.2,404,1.413,0.573,0.2984,4.3716,4.3507,5.0484,299965.4964,7142.1703,28017.7405,0.4447,3.1476,4.0762,0.4045,0.0126,0.0014,0.3316282513258135
