mapper_1,nodo_g1,mapper_2,nodo_g2,jaccard,n_inter
A,cube4_cluster0,D,cube18_cluster0,0.0594059405940594,6
A,cube5_cluster0,D,cube18_cluster0,0.0594059405940594,6
A,cube4_cluster1,D,cube3_cluster0,0.058823529411764705,5
A,cube1_cluster0,D,cube19_cluster0,0.05732484076433121,9
A,cube5_cluster0,D,cube26_cluster0,0.05660377358490566,6
A,cube4_cluster0,D,cube26_cluster0,0.05660377358490566,6
A,cube0_cluster0,D,cube10_cluster0,0.05660377358490566,3
A,cube0_cluster2,D,cube29_cluster0,0.05555555555555555,3
A,cube0_cluster2,D,cube35_cluster0,0.05555555555555555,3
A,cube5_cluster1,D,cube19_cluster0,0.05555555555555555,2
A,cube4_cluster0,D,cube25_cluster0,0.05555555555555555,4
A,cube5_cluster0,D,cube25_cluster0,0.05555555555555555,4
A,cube1_cluster0,D,cube4_cluster0,0.05521472392638037,9
A,cube0_cluster2,D,cube4_cluster0,0.05454545454545454,3
A,cube4_cluster1,D,cube19_cluster0,0.05405405405405406,2
A,cube0_cluster1,D,cube9_cluster0,0.05405405405405406,12
A,cube0_cluster0,D,cube0_cluster0,0.05263157894736842,2
A,cube7_cluster0,D,cube26_cluster0,0.05194805194805195,4
A,cube0_cluster2,D,cube32_cluster0,0.05194805194805195,4
A,cube0_cluster0,D,cube17_cluster0,0.05194805194805195,4
A,cube1_cluster0,D,cube37_cluster0,0.05161290322580645,8
A,cube1_cluster1,D,cube26_cluster0,0.05102040816326531,5
A,cube1_cluster2,D,cube6_cluster0,0.05102040816326531,5
A,cube0_cluster3,D,cube6_cluster0,0.050505050505050504,5
B,cube1_cluster0,C,cube4_cluster1,0.4166666666666667,150
B,cube1_cluster0,C,cube5_cluster0,0.2802056555269923,109
B,cube6_cluster0,C,cube4_cluster4,0.2711864406779661,16
B,cube0_cluster0,C,cube4_cluster1,0.23372781065088757,79
B,cube5_cluster1,C,cube6_cluster1,0.2222222222222222,2
B,cube5_cluster0,C,cube4_cluster4,0.2088607594936709,33
B,cube5_cluster0,C,cube4_cluster6,0.18064516129032257,28
B,cube4_cluster0,C,cube4_cluster6,0.17857142857142858,10
B,cube0_cluster0,C,cube5_cluster0,0.17052023121387283,59
B,cube6_cluster0,C,cube5_cluster7,0.16666666666666666,6
B,cube1_cluster0,C,cube3_cluster2,0.15168539325842698,54
B,cube4_cluster0,C,cube4_cluster3,0.15,6
B,cube3_cluster0,C,cube4_cluster10,0.14285714285714285,1
B,cube3_cluster0,C,cube5_cluster9,0.14285714285714285,1
B,cube4_cluster1,C,cube6_cluster5,0.125,1
B,cube5_cluster0,C,cube5_cluster2,0.12179487179487179,19
